Wetland,Habitat,Time,PopulationSize
1,Marsh,0,62.483570765056164
1,Marsh,2,55.308678494144075
1,Marsh,4,55.23844269050346
1,Marsh,6,55.61514928204013
1,Marsh,8,42.82923312638332
1,Swamp,0,48.8293152152541
1,Swamp,2,47.896064077536955
1,Swamp,4,33.837173645764544
1,Swamp,6,17.65262807032524
1,Swamp,8,12.712800217929823
1,Pond,0,37.68291153593769
1,Pond,2,33.671351232148716
1,Pond,4,33.20981135783017
1,Pond,6,18.43359877671101
1,Pond,8,15.375410837434837
2,Marsh,0,57.188562353795135
2,Marsh,2,50.93584439832788
2,Marsh,4,53.57123666297637
2,Marsh,6,43.45987962239394
2,Marsh,8,36.93848149332354
2,Swamp,0,57.32824384460777
2,Swamp,2,38.87111849756732
2,Swamp,4,30.33764102343962
2,Swamp,6,12.876259068932717
2,Swamp,8,7.278086377374087
2,Pond,0,40.554612948549334
2,Pond,2,30.245032112888488
2,Pond,4,33.87849009172836
2,Pond,6,24.996806550405974
2,Pond,8,22.541531251033618
3,Marsh,0,56.991466938853016
3,Marsh,2,65.26139092254469
3,Marsh,4,51.93251387631033
3,Marsh,6,42.7114453552205
3,Marsh,8,48.11272456051594
3,Swamp,0,43.89578175014489
3,Swamp,2,41.04431797502378
3,Swamp,4,20.201649380601122
3,Swamp,6,13.359069755507846
3,Swamp,8,10.984306179345618
3,Pond,0,43.69233289997705
3,Pond,2,36.85684140594985
3,Pond,4,31.421758588058797
3,Pond,6,26.494481522053555
3,Pond,8,16.607390048162863
4,Marsh,0,56.40077895802646
4,Marsh,2,53.696806145201066
4,Marsh,4,57.285611131094576
4,Marsh,6,49.718091447842305
4,Marsh,8,35.18479922318633
4,Swamp,0,51.620419846973974
4,Swamp,2,38.07458859791842
4,Swamp,4,26.615389998470206
4,Swamp,6,23.05838144420434
4,Swamp,8,15.154997612479754
4,Pond,0,44.65640059558099
4,Pond,2,31.803912383886807
4,Pond,4,30.453938120743928
4,Pond,6,29.65631715701782
4,Pond,8,28.877725635611796
5,Marsh,0,57.60412881077355
5,Marsh,2,55.07170511668092
5,Marsh,4,46.468325129969855
5,Marsh,6,42.01896687959665
5,Marsh,8,48.06262911197099
5,Swamp,0,56.78120014285412
5,Swamp,2,39.63994939209833
5,Swamp,4,35.01766448946012
5,Swamp,6,21.80818012523817
5,Swamp,8,6.774401226974378
5,Pond,0,41.80697802754207
5,Pond,2,43.690182832329846
5,Pond,4,31.820869804450243
5,Pond,6,35.82321827907003
5,Pond,8,10.901274479551278
6,Marsh,0,64.10951252187611
6,Marsh,2,56.435235341190854
6,Marsh,4,50.50496324767066
6,Marsh,6,48.458803882677515
6,Marsh,8,34.06215542699554
6,Swamp,0,48.90164056081244
6,Swamp,2,41.78556285755873
6,Swamp,4,37.38947022370758
6,Swamp,6,17.40864890863176
6,Swamp,8,5.957531985534062
6,Pond,0,37.491214782077314
6,Pond,2,40.57701058851037
6,Pond,4,33.64375554829842
6,Pond,6,25.351198981164806
6,Pond,8,26.56633716556678
7,Marsh,0,60.4853877467402
7,Marsh,2,60.84322495266444
7,Marsh,4,48.48973453061324
7,Marsh,6,46.36168926701116
7,Marsh,8,42.03945923433921
7,Swamp,0,42.68242525933941
7,Swamp,2,41.48060138532288
7,Swamp,4,31.305276360899448
7,Swamp,6,20.025567283212304
7,Swamp,8,8.827064333124266
7,Pond,0,32.923146289747926
7,Pond,2,33.89677338617321
7,Pond,4,30.286427417366152
7,Pond,6,23.988613653891903
7,Pond,8,23.193571441669953
8,Marsh,0,62.02025428407269
8,Marsh,2,65.43092950605265
8,Marsh,4,52.872889064159196
8,Marsh,6,49.28775195361382
8,Marsh,8,43.62777042116917
8,Swamp,0,40.40614392350479
8,Swamp,2,39.867430622753915
8,Swamp,4,30.301151049705133
8,Swamp,6,32.316210562426434
8,Swamp,8,9.038195176094387
8,Pond,0,41.50773671166806
8,Pond,2,35.82644115147378
8,Pond,4,26.15660981190234
8,Pond,6,33.7141140725751
8,Pond,8,27.759665163433873
9,Marsh,0,63.95515973521523
9,Marsh,2,51.4530627260263
9,Marsh,4,59.013971554680495
9,Marsh,6,40.990744686038596
9,Marsh,8,46.93428546900135
9,Swamp,0,60.952278129049894
9,Swamp,2,35.04731837434656
9,Swamp,4,27.16851135198614
9,Swamp,6,20.498256825438204
9,Swamp,8,7.482621729419003
9,Pond,0,32.24668284466934
9,Pond,2,36.34281487403014
9,Pond,4,26.688481431369475
9,Pond,6,30.36796215317591
9,Pond,8,19.402878828830985
10,Marsh,0,67.7496720250877
10,Marsh,2,52.08373353831882
10,Marsh,4,50.38969241897162
10,Marsh,6,52.06758608684835
10,Marsh,8,37.84567841783022
10,Swamp,0,51.13729967302065
10,Swamp,2,46.53571377141214
10,Swamp,4,21.96258382719386
10,Swamp,6,20.92316929266152
10,Swamp,8,11.299413971242117
10,Pond,0,43.909114358886555
10,Pond,2,29.81524644560959
10,Pond,4,25.397716934578618
10,Pond,6,30.60970782808449
10,Pond,8,25.48492336616593
11,Marsh,0,61.252464251729386
11,Marsh,2,57.73224104748488
11,Marsh,4,48.59987639210755
11,Marsh,6,49.16126848580502
11,Marsh,8,45.46536236649341
11,Swamp,0,46.42824290986816
11,Swamp,2,49.328872555723784
11,Swamp,4,32.36916460455894
11,Swamp,6,14.043482513986756
11,Swamp,8,13.282768043169149
11,Pond,0,35.126591648863396
11,Pond,2,39.93542301871226
11,Pond,4,37.79297789503702
11,Pond,6,23.89658840824145
11,Pond,8,28.81688064622161
12,Marsh,0,62.063904634682494
12,Marsh,2,60.11030079997245
12,Marsh,4,61.48396491326974
12,Marsh,6,46.77305941998565
12,Marsh,8,40.23131917821255
12,Swamp,0,45.55242785187238
12,Swamp,2,35.92094857517281
12,Swamp,4,29.614491452929478
12,Swamp,6,21.70575987408322
12,Swamp,8,11.383453996650095
12,Pond,0,44.13591624518012
12,Pond,2,36.065009459389536
12,Pond,4,39.26767038578659
12,Pond,6,26.67671583381022
12,Pond,8,37.600845832948096
13,Marsh,0,63.128336738825034
13,Marsh,2,51.714212217918586
13,Marsh,4,46.645537509694435
13,Marsh,6,50.41236207621593
13,Marsh,8,42.88268607337075
13,Swamp,0,53.57000247046046
13,Swamp,2,42.366188122867726
13,Swamp,4,29.635855436715637
13,Swamp,6,15.766031409657975
13,Swamp,8,2.4257638765706773
13,Pond,0,37.767425239664895
13,Pond,2,40.28199397161736
13,Pond,4,33.07046872065102
13,Pond,6,21.771306106440058
13,Pond,8,24.86590462925591
14,Marsh,0,61.92658689864418
14,Marsh,2,51.580712818994336
14,Marsh,4,52.768625529727636
14,Marsh,6,48.29104359223
14,Marsh,8,38.28514851084688
14,Swamp,0,51.788936801741414
14,Swamp,2,42.803922631841175
14,Swamp,4,35.41525621587638
14,Swamp,6,25.269010260174515
14,Swamp,8,3.1116531602145443
14,Pond,0,35.310874800424386
14,Pond,2,38.5751763360433
14,Pond,4,34.56892975456105
14,Pond,6,30.575238431530238
14,Pond,8,43.26365745327361
15,Marsh,0,62.85445255346583
15,Marsh,2,61.677828200902994
15,Marsh,4,56.770008817466014
15,Marsh,6,51.25695625652899
15,Marsh,8,42.423653776798275
15,Swamp,0,53.79484610246634
15,Swamp,2,36.13587392731214
15,Swamp,4,28.815906966299956
15,Swamp,6,17.573182260854484
15,Swamp,8,10.409370696931612
15,Pond,0,51.573292833367546
15,Pond,2,26.66367403704126
15,Pond,4,35.431300951872565
15,Pond,6,19.936420644051744
15,Pond,8,21.640340671052833
